mpg,displacement,horsepower,weight,model_year,origin
18.0,307.0,130.0,3504,70,usa
15.0,350.0,165.0,3693,70,usa
18.0,318.0,150.0,3436,70,usa
16.0,304.0,150.0,3433,70,usa
17.0,302.0,140.0,3449,70,usa
15.0,429.0,198.0,4341,70,usa
14.0,454.0,220.0,4354,70,usa
14.0,440.0,215.0,4312,70,usa
14.0,455.0,225.0,4425,70,usa
15.0,390.0,190.0,3850,70,usa
15.0,383.0,170.0,3563,70,usa
14.0,340.0,160.0,3609,70,usa
15.0,400.0,150.0,3761,70,usa
14.0,455.0,225.0,3086,70,usa
24.0,113.0,95.0,2372,70,japan
22.0,198.0,95.0,2833,70,usa
18.0,199.0,97.0,2774,70,usa
21.0,200.0,85.0,2587,70,usa
27.0,97.0,88.0,2130,70,japan
26.0,97.0,46.0,1835,70,europe
25.0,110.0,87.0,2672,70,europe
24.0,107.0,90.0,2430,70,europe
25.0,104.0,95.0,2375,70,europe
26.0,121.0,113.0,2234,70,europe
21.0,199.0,90.0,2648,70,usa
10.0,360.0,215.0,4615,70,usa
10.0,307.0,200.0,4376,70,usa
11.0,318.0,210.0,4382,70,usa
9.0,304.0,193.0,4732,70,usa
27.0,97.0,88.0,2130,71,japan
28.0,140.0,90.0,2264,71,usa
25.0,113.0,95.0,2228,71,japan
25.0,98.0,,2046,71,usa
19.0,232.0,100.0,2634,71,usa
16.0,225.0,105.0,3439,71,usa
17.0,250.0,100.0,3329,71,usa
19.0,250.0,88.0,3302,71,usa
18.0,232.0,100.0,3288,71,usa
14.0,350.0,165.0,4209,71,usa
14.0,400.0,175.0,4464,71,usa
14.0,351.0,153.0,4154,71,usa
14.0,318.0,150.0,4096,71,usa
12.0,383.0,180.0,4955,71,usa
13.0,400.0,170.0,4746,71,usa
13.0,400.0,175.0,5140,71,usa
18.0,258.0,110.0,2962,71,usa
22.0,140.0,72.0,2408,71,usa
19.0,250.0,100.0,3282,71,usa
18.0,250.0,88.0,3139,71,usa
23.0,122.0,86.0,2220,71,usa
28.0,116.0,90.0,2123,71,europe
30.0,79.0,70.0,2074,71,europe
30.0,88.0,76.0,2065,71,europe
31.0,71.0,65.0,1773,71,japan
35.0,72.0,69.0,1613,71,japan
27.0,97.0,60.0,1834,71,europe
26.0,91.0,70.0,1955,71,usa
24.0,113.0,95.0,2278,72,japan
25.0,97.5,80.0,2126,72,usa
23.0,97.0,54.0,2254,72,europe
20.0,140.0,90.0,2408,72,usa
21.0,122.0,86.0,2226,72,usa
13.0,350.0,165.0,4274,72,usa
14.0,400.0,175.0,4385,72,usa
15.0,318.0,150.0,4135,72,usa
14.0,351.0,153.0,4129,72,usa
17.0,304.0,150.0,3672,72,usa
11.0,429.0,208.0,4633,72,usa
13.0,350.0,155.0,4502,72,usa
12.0,350.0,160.0,4456,72,usa
13.0,400.0,190.0,4422,72,usa
19.0,70.0,97.0,2330,72,japan
15.0,304.0,150.0,3892,72,usa
13.0,307.0,130.0,4098,72,usa
13.0,302.0,140.0,4294,72,usa
14.0,318.0,150.0,4077,72,usa
18.0,121.0,112.0,2933,72,europe
22.0,121.0,76.0,2511,72,europe
21.0,120.0,87.0,2979,72,europe
26.0,96.0,69.0,2189,72,europe
22.0,122.0,86.0,2395,72,usa
28.0,97.0,92.0,2288,72,japan
23.0,120.0,97.0,2506,72,japan
28.0,98.0,80.0,2164,72,usa
27.0,97.0,88.0,2100,72,japan
13.0,350.0,175.0,4100,73,usa
14.0,304.0,150.0,3672,73,usa
13.0,350.0,145.0,3988,73,usa
14.0,302.0,137.0,4042,73,usa
15.0,318.0,150.0,3777,73,usa
12.0,429.0,198.0,4952,73,usa
13.0,400.0,150.0,4464,73,usa
13.0,351.0,158.0,4363,73,usa
14.0,318.0,150.0,4237,73,usa
13.0,440.0,215.0,4735,73,usa
12.0,455.0,225.0,4951,73,usa
13.0,360.0,175.0,3821,73,usa
18.0,225.0,105.0,3121,73,usa
16.0,250.0,100.0,3278,73,usa
18.0,232.0,100.0,2945,73,usa
18.0,250.0,88.0,3021,73,usa
23.0,198.0,95.0,2904,73,usa
26.0,97.0,46.0,1950,73,europe
11.0,400.0,150.0,4997,73,usa
12.0,400.0,167.0,4906,73,usa
13.0,360.0,170.0,4654,73,usa
12.0,350.0,180.0,4499,73,usa
18.0,232.0,100.0,2789,73,usa
20.0,97.0,88.0,2279,73,japan
21.0,140.0,72.0,2401,73,usa
22.0,108.0,94.0,2379,73,japan
18.0,70.0,90.0,2124,73,japan
19.0,122.0,85.0,2310,73,usa
21.0,155.0,107.0,2472,73,usa
26.0,98.0,90.0,2265,73,europe
15.0,350.0,145.0,4082,73,usa
16.0,400.0,230.0,4278,73,usa
29.0,68.0,49.0,1867,73,europe
24.0,116.0,75.0,2158,73,europe
20.0,114.0,91.0,2582,73,europe
19.0,121.0,112.0,2868,73,europe
15.0,318.0,150.0,3399,73,usa
24.0,121.0,110.0,2660,73,europe
20.0,156.0,122.0,2807,73,japan
11.0,350.0,180.0,3664,73,usa
20.0,198.0,95.0,3102,74,usa
21.0,200.0,,2875,74,usa
19.0,232.0,100.0,2901,74,usa
15.0,250.0,100.0,3336,74,usa
31.0,79.0,67.0,1950,74,japan
26.0,122.0,80.0,2451,74,usa
32.0,71.0,65.0,1836,74,japan
25.0,140.0,75.0,2542,74,usa
16.0,250.0,100.0,3781,74,usa
16.0,258.0,110.0,3632,74,usa
18.0,225.0,105.0,3613,74,usa
16.0,302.0,140.0,4141,74,usa
13.0,350.0,150.0,4699,74,usa
14.0,318.0,150.0,4457,74,usa
14.0,302.0,140.0,4638,74,usa
14.0,304.0,150.0,4257,74,usa
29.0,98.0,83.0,2219,74,europe
26.0,79.0,67.0,1963,74,europe
26.0,97.0,78.0,2300,74,europe
31.0,76.0,52.0,1649,74,japan
32.0,83.0,61.0,2003,74,japan
28.0,90.0,75.0,2125,74,usa
24.0,90.0,75.0,2108,74,europe
26.0,116.0,75.0,2246,74,europe
24.0,120.0,97.0,2489,74,japan
26.0,108.0,93.0,2391,74,japan
31.0,79.0,67.0,2000,74,europe
19.0,225.0,95.0,3264,75,usa
18.0,250.0,105.0,3459,75,usa
15.0,250.0,72.0,3432,75,usa
15.0,250.0,72.0,3158,75,usa
16.0,400.0,170.0,4668,75,usa
15.0,350.0,145.0,4440,75,usa
16.0,318.0,150.0,4498,75,usa
14.0,351.0,148.0,4657,75,usa
17.0,231.0,110.0,3907,75,usa
16.0,250.0,105.0,3897,75,usa
15.0,258.0,110.0,3730,75,usa
18.0,225.0,95.0,3785,75,usa
21.0,231.0,110.0,3039,75,usa
20.0,262.0,110.0,3221,75,usa
13.0,302.0,129.0,3169,75,usa
29.0,97.0,75.0,2171,75,japan
23.0,140.0,83.0,2639,75,usa
20.0,232.0,100.0,2914,75,usa
23.0,140.0,78.0,2592,75,usa
24.0,134.0,96.0,2702,75,japan
25.0,90.0,71.0,2223,75,europe
24.0,119.0,97.0,2545,75,japan
18.0,171.0,97.0,2984,75,usa
29.0,90.0,70.0,1937,75,europe
19.0,232.0,90.0,3211,75,usa
23.0,115.0,95.0,2694,75,europe
23.0,120.0,88.0,2957,75,europe
22.0,121.0,98.0,2945,75,europe
25.0,121.0,115.0,2671,75,europe
33.0,91.0,53.0,1795,75,japan
28.0,107.0,86.0,2464,76,europe
25.0,116.0,81.0,2220,76,europe
25.0,140.0,92.0,2572,76,usa
26.0,98.0,79.0,2255,76,usa
27.0,101.0,83.0,2202,76,europe
17.5,305.0,140.0,4215,76,usa
16.0,318.0,150.0,4190,76,usa
15.5,304.0,120.0,3962,76,usa
14.5,351.0,152.0,4215,76,usa
22.0,225.0,100.0,3233,76,usa
22.0,250.0,105.0,3353,76,usa
24.0,200.0,81.0,3012,76,usa
22.5,232.0,90.0,3085,76,usa
29.0,85.0,52.0,2035,76,usa
24.5,98.0,60.0,2164,76,usa
29.0,90.0,70.0,1937,76,europe
33.0,91.0,53.0,1795,76,japan
20.0,225.0,100.0,3651,76,usa
18.0,250.0,78.0,3574,76,usa
18.5,250.0,110.0,3645,76,usa
17.5,258.0,95.0,3193,76,usa
29.5,97.0,71.0,1825,76,europe
32.0,85.0,70.0,1990,76,japan
28.0,97.0,75.0,2155,76,japan
26.5,140.0,72.0,2565,76,usa
20.0,130.0,102.0,3150,76,europe
13.0,318.0,150.0,3940,76,usa
19.0,120.0,88.0,3270,76,europe
19.0,156.0,108.0,2930,76,japan
16.5,168.0,120.0,3820,76,europe
16.5,350.0,180.0,4380,76,usa
13.0,350.0,145.0,4055,76,usa
13.0,302.0,130.0,3870,76,usa
13.0,318.0,150.0,3755,76,usa
31.5,98.0,68.0,2045,77,japan
30.0,111.0,80.0,2155,77,usa
36.0,79.0,58.0,1825,77,europe
25.5,122.0,96.0,2300,77,usa
33.5,85.0,70.0,1945,77,japan
17.5,305.0,145.0,3880,77,usa
17.0,260.0,110.0,4060,77,usa
15.5,318.0,145.0,4140,77,usa
15.0,302.0,130.0,4295,77,usa
17.5,250.0,110.0,3520,77,usa
20.5,231.0,105.0,3425,77,usa
19.0,225.0,100.0,3630,77,usa
18.5,250.0,98.0,3525,77,usa
16.0,400.0,180.0,4220,77,usa
15.5,350.0,170.0,4165,77,usa
15.5,400.0,190.0,4325,77,usa
16.0,351.0,149.0,4335,77,usa
29.0,97.0,78.0,1940,77,europe
24.5,151.0,88.0,2740,77,usa
26.0,97.0,75.0,2265,77,japan
25.5,140.0,89.0,2755,77,usa
30.5,98.0,63.0,2051,77,usa
33.5,98.0,83.0,2075,77,usa
30.0,97.0,67.0,1985,77,japan
30.5,97.0,78.0,2190,77,europe
22.0,146.0,97.0,2815,77,japan
21.5,121.0,110.0,2600,77,europe
21.5,80.0,110.0,2720,77,japan
43.1,90.0,48.0,1985,78,europe
36.1,98.0,66.0,1800,78,usa
32.8,78.0,52.0,1985,78,japan
39.4,85.0,70.0,2070,78,japan
36.1,91.0,60.0,1800,78,japan
19.9,260.0,110.0,3365,78,usa
19.4,318.0,140.0,3735,78,usa
20.2,302.0,139.0,3570,78,usa
19.2,231.0,105.0,3535,78,usa
20.5,200.0,95.0,3155,78,usa
20.2,200.0,85.0,2965,78,usa
25.1,140.0,88.0,2720,78,usa
20.5,225.0,100.0,3430,78,usa
19.4,232.0,90.0,3210,78,usa
20.6,231.0,105.0,3380,78,usa
20.8,200.0,85.0,3070,78,usa
18.6,225.0,110.0,3620,78,usa
18.1,258.0,120.0,3410,78,usa
19.2,305.0,145.0,3425,78,usa
17.7,231.0,165.0,3445,78,usa
18.1,302.0,139.0,3205,78,usa
17.5,318.0,140.0,4080,78,usa
30.0,98.0,68.0,2155,78,usa
27.5,134.0,95.0,2560,78,japan
27.2,119.0,97.0,2300,78,japan
30.9,105.0,75.0,2230,78,usa
21.1,134.0,95.0,2515,78,japan
23.2,156.0,105.0,2745,78,usa
23.8,151.0,85.0,2855,78,usa
23.9,119.0,97.0,2405,78,japan
20.3,131.0,103.0,2830,78,europe
17.0,163.0,125.0,3140,78,europe
21.6,121.0,115.0,2795,78,europe
16.2,163.0,133.0,3410,78,europe
31.5,89.0,71.0,1990,78,europe
29.5,98.0,68.0,2135,78,japan
21.5,231.0,115.0,3245,79,usa
19.8,200.0,85.0,2990,79,usa
22.3,140.0,88.0,2890,79,usa
20.2,232.0,90.0,3265,79,usa
20.6,225.0,110.0,3360,79,usa
17.0,305.0,130.0,3840,79,usa
17.6,302.0,129.0,3725,79,usa
16.5,351.0,138.0,3955,79,usa
18.2,318.0,135.0,3830,79,usa
16.9,350.0,155.0,4360,79,usa
15.5,351.0,142.0,4054,79,usa
19.2,267.0,125.0,3605,79,usa
18.5,360.0,150.0,3940,79,usa
31.9,89.0,71.0,1925,79,europe
34.1,86.0,65.0,1975,79,japan
35.7,98.0,80.0,1915,79,usa
27.4,121.0,80.0,2670,79,usa
25.4,183.0,77.0,3530,79,europe
23.0,350.0,125.0,3900,79,usa
27.2,141.0,71.0,3190,79,europe
23.9,260.0,90.0,3420,79,usa
34.2,105.0,70.0,2200,79,usa
34.5,105.0,70.0,2150,79,usa
31.8,85.0,65.0,2020,79,japan
37.3,91.0,69.0,2130,79,europe
28.4,151.0,90.0,2670,79,usa
28.8,173.0,115.0,2595,79,usa
26.8,173.0,115.0,2700,79,usa
33.5,151.0,90.0,2556,79,usa
41.5,98.0,76.0,2144,80,europe
38.1,89.0,60.0,1968,80,japan
32.1,98.0,70.0,2120,80,usa
37.2,86.0,65.0,2019,80,japan
28.0,151.0,90.0,2678,80,usa
26.4,140.0,88.0,2870,80,usa
24.3,151.0,90.0,3003,80,usa
19.1,225.0,90.0,3381,80,usa
34.3,97.0,78.0,2188,80,europe
29.8,134.0,90.0,2711,80,japan
31.3,120.0,75.0,2542,80,japan
37.0,119.0,92.0,2434,80,japan
32.2,108.0,75.0,2265,80,japan
46.6,86.0,65.0,2110,80,japan
27.9,156.0,105.0,2800,80,usa
40.8,85.0,65.0,2110,80,japan
44.3,90.0,48.0,2085,80,europe
43.4,90.0,48.0,2335,80,europe
36.4,121.0,67.0,2950,80,europe
30.0,146.0,67.0,3250,80,europe
44.6,91.0,67.0,1850,80,japan
40.9,85.0,,1835,80,europe
33.8,97.0,67.0,2145,80,japan
29.8,89.0,62.0,1845,80,europe
32.7,168.0,132.0,2910,80,japan
23.7,70.0,100.0,2420,80,japan
35.0,122.0,88.0,2500,80,europe
23.6,140.0,,2905,80,usa
32.4,107.0,72.0,2290,80,japan
27.2,135.0,84.0,2490,81,usa
26.6,151.0,84.0,2635,81,usa
25.8,156.0,92.0,2620,81,usa
23.5,173.0,110.0,2725,81,usa
30.0,135.0,84.0,2385,81,usa
39.1,79.0,58.0,1755,81,japan
39.0,86.0,64.0,1875,81,usa
35.1,81.0,60.0,1760,81,japan
32.3,97.0,67.0,2065,81,japan
37.0,85.0,65.0,1975,81,japan
37.7,89.0,62.0,2050,81,japan
34.1,91.0,68.0,1985,81,japan
34.7,105.0,63.0,2215,81,usa
34.4,98.0,65.0,2045,81,usa
29.9,98.0,65.0,2380,81,usa
33.0,105.0,74.0,2190,81,europe
34.5,100.0,,2320,81,europe
33.7,107.0,75.0,2210,81,japan
32.4,108.0,75.0,2350,81,japan
32.9,119.0,100.0,2615,81,japan
31.6,120.0,74.0,2635,81,japan
28.1,141.0,80.0,3230,81,europe
30.7,145.0,76.0,3160,81,europe
25.4,168.0,116.0,2900,81,japan
24.2,146.0,120.0,2930,81,japan
22.4,231.0,110.0,3415,81,usa
26.6,350.0,105.0,3725,81,usa
20.2,200.0,88.0,3060,81,usa
17.6,225.0,85.0,3465,81,usa
28.0,112.0,88.0,2605,82,usa
27.0,112.0,88.0,2640,82,usa
34.0,112.0,88.0,2395,82,usa
31.0,112.0,85.0,2575,82,usa
29.0,135.0,84.0,2525,82,usa
27.0,151.0,90.0,2735,82,usa
24.0,140.0,92.0,2865,82,usa
23.0,151.0,,3035,82,usa
36.0,105.0,74.0,1980,82,europe
37.0,91.0,68.0,2025,82,japan
31.0,91.0,68.0,1970,82,japan
38.0,105.0,63.0,2125,82,usa
36.0,98.0,70.0,2125,82,usa
36.0,120.0,88.0,2160,82,japan
36.0,107.0,75.0,2205,82,japan
34.0,108.0,70.0,2245,82,japan
38.0,91.0,67.0,1965,82,japan
32.0,91.0,67.0,1965,82,japan
38.0,91.0,67.0,1995,82,japan
25.0,181.0,110.0,2945,82,usa
38.0,262.0,85.0,3015,82,usa
26.0,156.0,92.0,2585,82,usa
22.0,232.0,112.0,2835,82,usa
32.0,144.0,96.0,2665,82,japan
36.0,135.0,84.0,2370,82,usa
27.0,151.0,90.0,2950,82,usa
27.0,140.0,86.0,2790,82,usa
44.0,97.0,52.0,2130,82,europe
32.0,135.0,84.0,2295,82,usa
28.0,120.0,79.0,2625,82,usa
31.0,119.0,82.0,2720,82,usa
